"","Country","Region","district","Product","date","Open","High","Low","Close","Currency"
"","Somalia","Hiraan","Beletweyne","oil","2020-03-01","31467.24","33155.46","29779.02","33388.4","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-04-01","34406.57","35891.32","32921.82","35776.8","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-05-01","36856.62","38407.16","35306.08","38165.19","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-06-01","39342.93","40990.8","37695.05","40553.59","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-07-01","41758.66","43534.56","39982.77","39959.84","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-08-01","39998.05","41631.26","38364.85","39206.92","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-09-01","39154.25","40873.37","37435.13","38328.18","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-10-01","38102.31","39842.48","36362.14","37480.95","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-11-01","37221.67","38978.8","35464.53","40092.74","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2020-12-01","41248.57","42343.59","40153.56","40975.17","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-01-01","41311.07","42821.75","39800.39","38152.6","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-02-01","37358.84","37767.79","36949.89","39292.04","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-03-01","39922.27","40470.17","39374.37","39277.91","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-04-01","39207.14","40349.32","38064.97","40093.8","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-05-01","40538.82","41931.06","39146.57","40734.24","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-06-01","41011.44","42636.48","39386.41","40805.41","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-07-01","40913.77","42675.1","39152.44","40275.09","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-08-01","40165.29","41966.06","38364.52","42859.03","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-09-01","44072.48","45386.45","42758.51","45102.77","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-10-01","46008.68","47634.24","44383.11","45922.74","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-11-01","46452.14","48331.27","44573.01","48080.4","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2021-12-01","49168.37","51079.18","47257.56","52310.63","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-01-01","54216.7","55593.07","52840.33","48369.1","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-02-01","47232.03","49484.3","44979.76","50230.54","SOS"
